31.30.174.57 - - [03/Feb/2025:15:34:48 +0000] "POST /tradingview HTTP/1.1" 200 49 "-" "curl/8.7.1"
34.212.75.30 - - [03/Feb/2025:15:41:27 +0000] "POST /tradingview HTTP/1.1" 200 95 "-" "Go-http-client/1.1"
52.32.178.7 - - [03/Feb/2025:15:57:03 +0000] "POST /tradingview HTTP/1.1" 200 96 "-" "Go-http-client/1.1"
34.212.75.30 - - [03/Feb/2025:16:01:32 +0000] "POST /tradingview HTTP/1.1" 200 95 "-" "Go-http-client/1.1"
52.32.178.7 - - [03/Feb/2025:16:27:49 +0000] "POST /tradingview HTTP/1.1" 200 97 "-" "Go-http-client/1.1"
52.32.178.7 - - [04/Feb/2025:08:05:15 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:05:15 +0000] "POST /tradingview HTTP/1.1" 200 195 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:26:26 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:26:47 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
52.32.178.7 - - [04/Feb/2025:08:26:47 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
52.32.178.7 - - [04/Feb/2025:08:27:01 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:27:02 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:29:23 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:29:37 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
52.32.178.7 - - [04/Feb/2025:08:29:43 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:29:43 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
52.32.178.7 - - [04/Feb/2025:08:43:35 +0000] "POST /tradingview HTTP/1.1" 200 196 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:43:35 +0000] "POST /tradingview HTTP/1.1" 200 195 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:43:35 +0000] "POST /tradingview HTTP/1.1" 200 197 "-" "Go-http-client/1.1"
52.32.178.7 - - [04/Feb/2025:08:56:26 +0000] "POST /tradingview HTTP/1.1" 200 196 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:56:35 +0000] "POST /tradingview HTTP/1.1" 200 196 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:58:20 +0000] "POST /tradingview HTTP/1.1" 200 194 "-" "Go-http-client/1.1"
34.212.75.30 - - [04/Feb/2025:08:58:20 +0000] "POST /tradingview HTTP/1.1" 200 195 "-" "Go-http-client/1.1"
